Id;Text
1746;§53 - Consideration when reporting on GHG emissions under B3 (Basic Module)
2096;12. When responding to ESRS 2 SBM-2, the undertaking shall disclose how the interests, views, and rights of people in its own workforce, including respect for their human rights, inform its strategy and business model. The undertaking’s own workforce is a key group of affected stakeholders.
2169;"16. The undertaking shall disclose: (a) a list of material sites in its own operations, including sites under its operational control, based on the results of paragraph 17(a). The undertaking shall disclose these locations by: i. specifying the activities negatively affecting biodiversity sensitive areas; ii. providing a breakdown of sites according to the impacts and dependencies identified, and to the ecological status of the areas (with reference to the specific ecosystem baseline level) where they are located; and iii. specifying the biodiversity-sensitive areas impacted, for users to be able to determine the location and the responsible competent authority with regards to the activities specified in paragraph 16(a) i. (b) whether it has identified material negative impacts with regards to land degradation, desertification or soil sealing; and (c) whether it has operations that affect threatened species."
2311;25. If the undertaking has obtained any sustainability-related certification or label, it shall provide a brief description of those (including, where relevant, the issuers of the certification or label, date and rating score).
2676;55. If the undertaking that operates in high climate impact sectors has adopted a transition plan for climate change mitigation, it may provide information about it, including an explanation of how it is contributing to reduce GHG emissions.
2776;7. When responding to ESRS 2 SBM-2, paragraph 43, the undertaking shall disclose how the views, interests, and rights of affected communities, including respect for their human rights (and their rights as indigenous peoples, where applicable), inform its strategy and business model. Affected communities are a key group of affected stakeholders.
2869;9. When responding to ESRS 2 SBM-2 paragraph 43, the undertaking shall disclose how the interests, views, and rights of its value chain workers could be materially impacted by the undertaking, including respect for their human rights, inform its strategy and business model. Value chain workers are a key group of affected stakeholders.
3328;Average data method for leased buildings (if floor space data is available)  CO2e emissions from franchises =  sum across building types: ? (total floor space of building type (m2) × average emission factor for building type (kg CO2e/m2/year))
3336;Average-data method (distribution) CO2e emissions from distribution =  sum across storage facilities: ? (volume of stored goods (m3 or pallet or TEU) × average number of days stored (days) × emission factor for storage facility (kg CO2e/m3 or pallet or TEU/day))
3337;Average-data method for calculating emissions from equity investments  sum across equity investments: ? ((investee company total revenue ($) × emission factor for investee’s sector (kg CO2e/$ revenue)) × share of equity (%)
3371;Description of extent to which and how process to identify, assess and manage impacts and risks is integrated into overall risk management process and used to evaluate overall risk profile and risk management processes
3412;Description of GHGs concerned for removal and storage activity, technological details about GHG removal, type of storage and transport of removed GHGs, whether activity qualifies as nature-based solution and how risk of non-permanence is managed
3423;Description of approach to ensuring that processes to provide or enable remedy in event of material negative impacts on affected communities are available and effective in their implementation and outcomes
3426;Description of actions taken to identify, monitor, prevent, mitigate, remediate or bring end to actual or potential adverse impacts related to sustainability matters assessed to be material (phase-in) and result of such actions
3472;Description of material incidents and deposits whereby pollution had negative impacts on environment and (or) is expected to have negative effects on financial cash flows, financial position and financial performance
3475;Description of how process prioritises negative impacts based on their relative severity and likelihood and positive impacts based on their relative scale, scope and likelihood and determines which sustainability matters are material for reporting purposes
3516;Description of process in relation to identification of climate-related transition events, considering at least climate scenario in line with limiting global warming to 1.5 °C with no or limited overshoot
3536;Description of process in relation to assessment of how assets and business activities may be exposed to climate-related transition events, creating gross transition risks or opportunities for undertaking
3647;Disclosure of contribution to impact drivers and possible mitigation actions following mitigation hierarchy and main path-dependencies and locked-in assets and resources that are associated with biodiversity and ecosystems change
3655;Disclosure of current and anticipated effects of material impacts, risks and opportunities on business model, value chain, strategy and decision-making, and how undertaking has responded or plans to respond to these effects
3686;Disclosure of extent and indication of nature of cases of non-respect of the UN Guiding Principles on Business and Human Rights, ILO Declaration on Fundamental Principles and Rights at Work or OECD Guidelines for Multinational Enterprises that involve value chain workers
